file,bucket,blocking,via,first_error
src/system/helix_plugin_installer.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/host_identity.cpp,C,ifaddrs.h,,/home/pbrown/Code/Printing/helixscreen/src/system/host_identity.cpp:9:10: fatal error: ifaddrs.h: No such file or directory
src/system/http_android.cpp,B,spdlog/fmt/json via shim,,
src/system/http_executor.cpp,B,spdlog/fmt/json via shim,,
src/system/input_settings_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/ipp_printer.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/ipp_printer.cpp:11:10: fatal error: hv/requests.h: No such file or directory
src/system/ipp_protocol.cpp,B,spdlog/fmt/json via shim,,
src/system/klipper_config_editor.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/klipper_config_includes.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/klipper_config_parser.cpp,B,spdlog/fmt/json via shim,,
src/system/label_bitmap.cpp,B,spdlog/fmt/json via shim,,
src/system/label_printer.cpp,A,,,
src/system/label_printer_settings.cpp,B,spdlog/fmt/json via shim,,
src/system/label_printer_utils.cpp,B,spdlog/fmt/json via shim,,
src/system/label_renderer.cpp,B,spdlog/fmt/json via shim,,
src/system/lock_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/log_collector.cpp,B,spdlog/fmt/json via shim,,
src/system/log_path_probe.cpp,C,sys/statvfs.h,,/home/pbrown/Code/Printing/helixscreen/src/system/log_path_probe.cpp:9:10: fatal error: sys/statvfs.h: No such file or directory
src/system/logging_init.cpp,D,hv/hlog.h,,/home/pbrown/Code/Printing/helixscreen/src/system/logging_init.cpp:6:10: fatal error: hv/hlog.h: No such file or directory
src/system/lvgl_image_writer.cpp,B,spdlog/fmt/json via shim,,
src/system/lvgl_log_handler.cpp,B,spdlog/fmt/json via shim,,
src/system/m300_sound_backend.cpp,B,spdlog/fmt/json via shim,,
src/system/makeid_bt_printer.cpp,D,Bluetooth stack (BlueZ/RFCOMM); first error: poll.h,,/home/pbrown/Code/Printing/helixscreen/src/system/makeid_bt_printer.cpp:19:10: fatal error: poll.h: No such file or directory
src/system/makeid_protocol.cpp,B,spdlog/fmt/json via shim,,
src/system/material_settings_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/memory_monitor.cpp,B,spdlog/fmt/json via shim,,
src/system/memory_profiling.cpp,C,POSIX signal API (newlib lacks SA_* flags),,/home/pbrown/Code/Printing/helixscreen/src/system/memory_profiling.cpp:124:19: error: 'SA_RESTART' was not declared in this scope
src/system/memory_utils.cpp,B,spdlog/fmt/json via shim,,
src/system/mock_performance_source.cpp,B,spdlog/fmt/json via shim,,
src/system/moonraker_config_manager.cpp,A,,,
src/system/moonraker_performance_source.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/network_tester.cpp,B,spdlog/fmt/json via shim,,
src/system/niimbot_bt_printer.cpp,B,spdlog/fmt/json via shim,,
src/system/niimbot_protocol.cpp,B,spdlog/fmt/json via shim,,
src/system/panel_widget_config.cpp,B,spdlog/fmt/json via shim,,
src/system/pending_startup_warnings.cpp,B,spdlog/fmt/json via shim,,
src/system/performance_state.cpp,B,spdlog/fmt/json via shim,,
src/system/phomemo_bt_printer.cpp,B,spdlog/fmt/json via shim,,
